Name,Region,Scientific Name,Sun Exposure,Rating
Inland Sea Oats,0,Chasmanthium latifolium,"sun, partial sun, shade",0.00
Flowering Maples,0,Abutilon spp.,"sun, partial sun, shade",0.00
Sweet Acacia,0,Acacia farnesiana,sun,0.00
Poinsettia,0,Euphorbia pulcherrima,"sun, partial sun",0.00
Sea Oats,0,Uniola paniculata,"sun, partial sun",0.00
European Horsechestnut,0,Aesculus hippocastanum,sun,0.00
Chinese Chestnut,0,Castanea mollissima,sun,0.00
American Chestnut,0,Castanea dentata,"sun, partial sun, shade",0.00
Variegated Shell Ginger,0,Alpinia zerumbet 'Variegata',"sun, partial sun, shade",0.00
Fairy Duster,0,Calliandra eriophylla,"sun, partial sun",0.00
Variegated Tapioca,0,Manihot esculenta,"sun, partial sun",0.00
Honey Myrtles,0,Melaleuca spp.,"sun, partial sun",0.00
Muhly Grasses,0,Muhlenbergia spp.,"sun, partial sun",0.00
Groundsel Tree or Eastern Baccharis,0,Baccharis halimifolia,sun,0.00
Date Palm,0,Phoenix dactylifera,"sun, partial sun",0.00
Hedge Bamboo,0,Bambusa multiplex,"sun, partial sun",0.00
Chinese Pistachio,0,Pistacia chinensis,"sun, partial sun",0.00
Giant Alocasia,0,Alocasia macrorrhiza,"partial sun, shade",0.00
Firecracker or Spicy Jatropha,0,Jatropha integerrima,"sun, partial sun",0.00
Australian Pine,0,Casuarina equisetifolia,"sun, partial sun",0.00
Butterfly Ginger,0,Hedychium coronarium,"sun, partial sun",0.00
Bottlebrush Buckeye,0,Aesculus parviflora,"sun, partial sun, shade",0.00
Papaya,0,Carica papaya,sun,0.00
